id_product,name ,Fabricant,quatity_masse,quantity_vol,Score Danger,description,cas_number,État physique,cid_number,phase_risque,Classif. SGH,ICPE,pH,Temp_ébullition,pression_vapeur,code_tunnel
38950,dimethylamine solution ,Fluka,,"0,25",220,,124-40-3,Liquide,H225 H302 H314 H335,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Skin Corr. 1B, STOT SE 3",,14,,263 hPa,D/E
130300050,phenylacetyl chloride ,Acros Organics,"0,215",,,,103-80-0,Liquide,,,,Non soumis,,,,
384800250,"1,2-ethanedisulfonyl acid dihydrate ",Acros Organics,"0,1",,100,,5982-56-9,Solide,H314 H318,R38,"Skin Corr. 1C, Eye Dam. 1",Non soumis,,,,
S1339,sodium methoxyde ,Acros Organics,"0,1",,100,,124-41-4,Solide,EUH014 H251 H314,,"Self-heat. 1, Skin Corr. 1B",4610,,,,D/E
220321000,chloroacetic acid ,Acros Organics,"0,25",,400,,79-11-8,Solide,H301 H311 H314 H331 H335 H400,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Derm.), Acute Tox. 3 (Inhal.), Skin Corr. 1B, STOT SE 3, Aquatic acute Acute 1","4130,1",1,189 °C,2 Pa,D/E
15A886.1611,Iodomethane ,Panreac,1,,500,,74-88-4,Liquide,H301 H312 H315 H319 H331 H335 H351 H400 H410,,"Acute Tox. 3 (Oral), Acute Tox. 3 (Inhal.), Acute Tox. 4 (Derm.), Skin Irrit. 2, Eye Irrit. 2A, Carc. 2, STOT SE 3, Aquatic acute Acute 1, Aquatic chronic Chronic 1","4130,2","5,2",42 °C,540 hPa,C/D
10379,tin powder,Alfa Aesar,"0,1",,111,,7440-31-5,Solide,H319 H335,,"Eye Irrit. 2A, STOT SE 3",Non soumis,,2 270 °C,,
499811,lithium granules,Aldrich,"0,025",,100,,7439-93-2,Solide,EUH014 H260 H314,,"Water-react. 1, Skin Corr. 1B",4620,,,1 mmHg à 723 °C,B/E
152463,2-methyl-2-butanol,Sigma Aldrich,,"2,5",210,,75-85-4,Liquide,H225 H312 H315 H318 H332 H335,,"Flam. Liq. 2, Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Dam. 1, STOT SE 3",,,,"15,5 hPa à 20 °C",D/E
34998,Acetonitrile,Honeywell,,1,30,,75-05-8,Liquide,H225 H302 H312 H319 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Eye Irrit. 2A",,,"81,6 °C",98 hPa,
271004,acetonitrile anhydrous,Sigma Aldrich,,2,30,,75-05-8,Liquide,H225 H302 H312 H319 H332,,"Flam. Liq. 2, Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Eye Irrit. 2A",,,,"98,64 hPa à 20 °C",D/E
34851,Acetonitrile,Sigma Aldrich,,10,120,,75-05-8,Liquide,H225 H302 H312 H319 H331,,"Flam. Liq. 2, Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Eye Irrit. 2A",,,,"98,64 hPa à 20 °C",D/E
22711,Chloroform,VWR,,2,1400,,"64-17-5, 67-66-3",Liquide,H302 H315 H319 H331 H351 H361d H372,,"Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, Carc. 2, Repr. 2, STOT RE 1","4130,2",,"61,7 °C",210 hPa,E
"20066,321",Acetone,VWR,,"7,5",111,,67-64-1,Liquide,EUH066 H225 H319 H336,,"Flam. Liq. 2, Eye Irrit. 2A, STOT SE 3",,5,"56,2 °C",233 hPa,D/E
"28498,292",Terpineol,Prolabo,,1,1,,98-55-5,Liquide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",,,214 °C,24 Pa,
"25970,294",nonane,Prolabo,,1,100,,111-84-2,Liquide,H226 H304,R10 R65,"Flam. Liq. 3, Asp. Tox. 1",,,151 °C,10 mmHg,
123226,anisole,Sigma Aldrich,,1,1,,100-66-3,Liquide,EUH066 H226,,Flam. Liq. 3,,,,"467,9 Pa à 25 °C",D/E
W209708,Anisole,Sigma Aldrich,,1,1,,100-66-3,Liquide,EUH066 H226,,Flam. Liq. 3,,,,"467,9 Pa à 25 °C",D/E
240664,"1,2-Dichlorobenzene anhydrous",Sigma Aldrich,,2,130,,95-50-1,Liquide,H302 H315 H317 H319 H332 H335 H400 H410,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, Skin Sens. 1, STOT SE 3, Aquatic acute Acute 1, Aquatic chronic Chronic 1",,,,"1,6 mmHg à 35 °C",E
227056,"N,N-dimethylformamide anhydrous",Sigma Aldrich,,"1,2",1300,,68-12-2,Liquide,H226 H312 H319 H332 H360D,,"Flam. Liq. 3, Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Eye Irrit. 2A, Repr. 1B",,7,,377 Pa à 20 °C,D/E
33120,"N,N-dimethylformamide",Sigma Aldrich,,2,1300,,68-12-2,Liquide,H226 H312 H319 H360D,,"Flam. Liq. 3, Acute Tox. 4 (Derm.), Eye Irrit. 2A, Repr. 1B",,7,,377 Pa à 20 °C,D/E
34943,Dimethyl sulfoxide ,Sigma Aldrich,,2,0,,67-68-5,Liquide,,,,,,,55 Pa à 20 °C,
41640,Dimethyl sulfoxide,Sigma Aldrich,,1,0,,67-68-5,Liquide,,,,,,,55 Pa à 20 °C,
M7200,Mesitylene,Sigma Aldrich,,"2,6",211,,108-67-8,Liquide,H226 H304 H315 H332 H335 H411,,"Flam. Liq. 3, Acute Tox. 4 (Inhal.), Skin Irrit. 2, STOT SE 3, Asp. Tox. 1, Aquatic chronic Chronic 2",,,,320 Pa à 25 °C,D/E
101389,Chlorobenzene,Sigma Aldrich,,1,11,,108-90-7,Liquide,H226 H315 H332 H411,,"Flam. Liq. 3, Acute Tox. 4 (Inhal.), Skin Irrit. 2, Aquatic chronic Chronic 2",,,,"11,8 mmHg à 25 °C",D/E
C56352,2-chloro-2-methylpropane,Aldrich,,2,0,,507-20-0,Liquide,H225,,Flam. Liq. 2,,,,320 hPa à 20 °C,D/E
"83625,32",Toluene,VWR,,15,320,,108-88-3,Liquide,H225 H304 H315 H336 H361d H373,,"Flam. Liq. 2, Skin Irrit. 2, Repr. 2, STOT SE 3, STOT RE 2, Asp. Tox. 1",,,"110,6 °C",29 hPa,D/E
L07861,2-Phenylpyridine ,Alfa Aesar,"0,01",,111,,1008-89-5,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,268 °C,"0,5 mbar à 30 °C",
T80489,Trimethylsulphonium iodide,Aldrich,"0,1",,111,,2181-42-2,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
452874,sodium borohydride,Aldrich,"0,1",,1300,,16940-66-2,Solide,EUH014 H260 H301 H314 H360F,,"Water-react. 1, Acute Tox. 3 (Oral), Skin Corr. 1B, Repr. 1B",,,,,E
471445,2-(methylamino)ethanol,Sigma Aldrich,,"0,25",220,,109-83-1,Liquide,H302 H312 H314 H318 H335 H373,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Skin Corr. 1B, Eye Dam. 1, STOT SE 3, STOT RE 2",Non soumis,"13,6",,70 Pa à 20 °C,E
51949,tert-butylmercaptan,Aldrich,,"0,025",100,,,Liquide,H331 H400 H410,,"Acute Tox. 3 (Inhal.), Aquatic acute Acute 1, Aquatic chronic Chronic 1","4130,2",,,,E
23506-7,chlorotriethylsilane,Aldrich,"0,01",,200,,994-30-9,Liquide,H226 H301 H314 H318,,"Flam. Liq. 3, Acute Tox. 3 (Oral), Skin Corr. 1A, Eye Dam. 1",,20,,,E
P16753,phenylacetyl chloride,Aldrich,"0,1",,210,,103-80-0,Liquide,H314 H318 H335,,"Skin Corr. 1B, Eye Dam. 1, STOT SE 3",Non soumis,,,39 Pa à 20 °C,E
111236,trans-2-octene,Aldrich,"0,005",,100,,13389-42-9,Liquide,H225 H304,,"Flam. Liq. 2, Asp. Tox. 1",,,,"31 mmHg à 37,7 °C",
465674,N-(tert-butoxycarbonyl)-glycine methyl ester,Aldrich,,"0,025",0,,31954-27-5,Liquide,,,,Non soumis,,,,
209538,4-fluorobenzyl bromide,Aldrich,"0,005",,100,,459-46-1,Solide,H314,,Skin Corr. 1B,Non soumis,,,,E
307378,butyl propionate,Aldrich,,"0,5",100,,590-01-2,Liquide,H226 H315 H318,,"Flam. Liq. 3, Skin Irrit. 2, Eye Dam. 1",,,,,D/E
123048,5-amino-1-pentanol,Sigma Aldrich,"0,05",,110,,2508-29-4,Liquide,H302 H314,,"Acute Tox. 4 (Oral), Skin Corr. 1B",Non soumis,"13,2",,,E
472344,poly(4-vinylpyridine),Aldrich,"0,025",,111,,25232-41-1,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
233048,4-(2-Furyl)-3-buten-2-one predominantly cis,Aldrich,"0,005",,10,,108811-61-6,Liquide,H302,,Acute Tox. 4 (Oral),Non soumis,,,,
I28208,isoquinoline,Aldrich,"0,1",,1300,,119-65-3,Liquide,H302 H311 H315 H319 H350 H412,R21/22 R36/38 R45 R52/53,"Acute Tox. 3 (Derm.), Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, Carc. 1B, Aquatic chronic Chronic 3",,,242 °C,,E
T6780-6,triisopropylphosphite,Aldrich,,1,101,,116-17-6,Liquide,H301 H315,,"Acute Tox. 3 (Oral), Skin Irrit. 2",,,,,E
32318,Morpholinium4-morpholinecarbodithioate,Aldrich,"0,005",,0,,6131-90-4,Liquide,,,,Non soumis,"8,5",,,
382132,"2,5-dihydroxyterephtalic acid",Aldrich,"0,005",,111,,610-92-4,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
163821,3-methoxy-2-nitrobenzaldehyde,Aldrich,"0,005",,0,,53055-05-3,Solide,,,,Non soumis,,,,
276316,"1-bromo-3,5-dimethylbenzene",Aldrich,"0,005",,1,,556-96-7,Liquide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
16809-2,ethyl 2-oxocyclopentanecarboxylate,Aldrich,"0,05",,0,,611-10-9,Liquide,,,,Non soumis,,,,
12965-8,3-methoxybenzaldehyde,Aldrich,,"0,025",0,,591-31-1,Liquide,,,,Non soumis,,,,
30740,dehydroacetic acid,Aldrich,"0,1",,10,,520-45-6,Solide,H302,,Acute Tox. 4 (Oral),Non soumis,,,,
M78259,N-methyl-2-pyridone,Aldrich,"0,025",,121,,694-85-9,Liquide,H302 H315 H319 H335,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
D125806,"N,N-diisopropylethylamine",Sigma Aldrich,,"0,1",310,,7087-68-5,Liquide,H225 H302 H318 H331 H335,,"Flam. Liq. 2, Acute Tox. 3 (Inhal.), Acute Tox. 4 (Oral), Eye Dam. 1, STOT SE 3",,"12,3",,"14,25 hPa à 20 °C",C/D
132551,"1,2-diaminocyclohexane mixture of cis and trans",Aldrich,,"0,25",100,,694-83-7,Liquide,H314,,Skin Corr. 1B,Non soumis,,,"0,4 mmHg à 20 °C",E
360597,"2,2,4-trimethylpentane",Sigma Aldrich,,1,211,,540-84-1,Liquide,H225 H304 H315 H335 H336 H400 H410,,"Flam. Liq. 2, Skin Irrit. 2, STOT SE 3, STOT SE 3, Asp. Tox. 1, Aquatic acute Acute 1, Aquatic chronic Chronic 1",,,,41 mmHg à 21 °C,D/E
H6654,Methyl 4-hydroxybenzoate,Aldrich,"0,1",,0,,99-76-3,Solide,H412,,Aquatic chronic Chronic 3,Non soumis,"5,8",,"0,000005 hPa à 20 °C",
141437,"4,7-dichloroquinoline",Aldrich,"0,025",,10,,86-98-6,Liquide,H315 H317 H319 H411,,"Skin Irrit. 2, Eye Irrit. 2A, Skin Sens. 1, Aquatic chronic Chronic 2",4511,"3,86",,,
P5160-5,propiophenone,Aldrich,"0,1",,0,,93-55-0,Liquide,,,,Non soumis,,,,
164186,7-methoxy-2-tetralone,Aldrich,"0,005",,0,,4133-34-0,Liquide,,,,Non soumis,,,,
391581,1-pyrenecarboxylic acid,Aldrich,"0,005",,0,,19694-02-1,Liquide,,,,Non soumis,,,,
542873,pyrene-1-boronic acid,Aldrich,"0,015",,0,,164461-18-1,Liquide,,,,Non soumis,,,,
D146706,1.10-dimethylanthracene,Aldrich,"0,002",,110,,781-43-1,Liquide,H312 H317 H332 H334,,"Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Resp. Sens. 1, Skin Sens. 1",Non soumis,,,,
438294,"tetrabutylphosphonium hydroxide, 40wt% solution Water",Aldrich,,"0,1",100,,14518-69-5,Liquide,H314,,Skin Corr. 1B,Non soumis,,,,E
213748,1.2-hexadecanediol,Aldrich,"0,05",,0,,6920-24-7,Solide,,,,Non soumis,,,,
189138,tetrabutylphosphoniumbromid,Aldrich,"0,1",,220,,3115-68-2,Solide,H290 H302 H311 H317 H318 H361f H361fd H411,,"Met. Corr. 1, Acute Tox. 3 (Derm.), Acute Tox. 4 (Oral), Eye Dam. 1, Skin Sens. 1, Repr. 2, Repr. 2, Aquatic chronic Chronic 2",4511,,,"0,00018 hPa à 25 °C",E
405868,"4'-chloro-2,2':6',2''-terpyridine",Aldrich,"0,001",,310,,128143-89-5,Solide,H301 H315 H318 H335,,"Acute Tox. 3 (Oral), Skin Irrit. 2, Eye Dam. 1, STOT SE 3",,,,,E
D33454,"1,3-diphenyl-1,3-propanedione",Aldrich,"0,025",,0,,120-46-7,Solide,,,,Non soumis,,,,
392960,Diphenyl-2-pyridylphosphine,Aldrich,"0,005",,111,,37943-90-1,Liquide,H315 H319 H335 H413,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, Aquatic chronic Chronic 4",Non soumis,,,,
A129,amoxapine,Sigma Aldrich,"0,0001",,10,,14028-44-5,Solide,H302,,Acute Tox. 4 (Oral),Non soumis,,,,
246425,"trans,transdibenzylidene-acetone",Aldrich,"0,02",,0,,35225-79-7,Solide,,,,Non soumis,,,,
"20103,295",acetic acid,Prolabo,,1,100,,64-19-7,Liquide,H226 H314,,"Flam. Liq. 3, Skin Corr. 1A",,,118 °C,,D/E
39694,zinc powder,Alfa Aesar,"0,2",,0,,7440-66-6,Solide,H250 H260 H400 H410,,"Pyr. Sol. 1, Water-react. 1, Aquatic acute Acute 1, Aquatic chronic Chronic 1",4430,,908 °C,1 mmHg à 487 °C,
199877,Lithium Aluminium Hydride,Aldrich,"0,05",,100,,16853-85-3,Solide,H260 H314 H318,,"Water-react. 1, Skin Corr. 1A, Eye Dam. 1",4620,,,,E
232106,Phosphorous Pentasulfide,Aldrich,"0,1",,110,,1314-80-3,ND,EUH029 H228 H260 H302 H332 H400,,"Flam. Sol. 1, Water-react. 1, Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Aquatic acute Acute 1",,,,1 mmHg à 300 °C,D/E
20802-7,calciumhydride,Aldrich,1,,0,,7789-78-8,Solide,H260,,Water-react. 1,4620,,,,E
679909,potassium cubes in mineral oil,Aldrich,"0,02",,100,,7440-09-7,Solide,EUH014 H260 H314,,"Water-react. 1, Skin Corr. 1B",4620,,,10 Pa à 260 °C,B/E
215813,Potassium Hydride 30% dispersion mineral oil,Aldrich,"0,075",,100,,7693-26-7,Solide,EUH014 H260 H314 H318,,"Water-react. 1, Skin Corr. 1B, Eye Dam. 1",4620,,,,E
31927-9,phosphomolybdic acid solution 20% in ethanol,Sigma Aldrich,,"0,1",100,,51429-74-4,Liquide,H225 H272 H314 H318,,"Flam. Liq. 2, Ox. Liq. 2, Skin Corr. 1B, Eye Dam. 1",,,,,D/E
35927-0,sodium tert-butoxide,Aldrich,"0,125",,100,,865-48-5,Solide,EUH014 H228 H251 H314,,"Flam. Sol. 1, Self-heat. 1, Skin Corr. 1B",1450,,,"0,000001 hPa à 20 °C",D/E
16499-2,sodium methoxide,Aldrich,"0,1",,110,,124-41-4,Solide,EUH014 H228 H251 H290 H302 H314,,"Flam. Sol. 1, Self-heat. 1, Met. Corr. 1, Acute Tox. 4 (Oral), Skin Corr. 1A",1450,"12,8",,50 mmHg à 20 °C,D/E
45291-2,sodium hydride 60% dispersion mineral oil,Aldrich,"0,305",,100,,7646-69-7,Solide,H228 H260 H290 H314 H318,,"Flam. Sol. 1, Water-react. 1, Met. Corr. 1, Skin Corr. 1A, Eye Dam. 1",1450,,,,E
213462,sodium borohydride,Sigma Aldrich,"0,125",,1300,,16940-66-2,Solide,EUH014 H260 H301 H314 H360F,,"Water-react. 1, Acute Tox. 3 (Oral), Skin Corr. 1B, Repr. 1B",,,,,E
282065,sodium sticks dry,Sigma Aldrich,"0,45",,100,,7440-23-5,Solide,EUH014 H260 H314,,"Water-react. 1, Skin Corr. 1B",4620,,,1 mmHg à 440 °C,B/E
379646,Fullerene-C60,Aldrich,"0,006",,111,,99685-96-8,Solide,H319 H335,,"Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
223832,Bis(triphenylpshophorayilidene)ammonium chloride,Aldrich,"0,15",,111,,21050-13-5,Solide,H315 H319 H332 H335,,"Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
17726-1,"1,1'-bis-(diphenylphosphino)ferrocene",Aldrich,"0,011",,0,,12150-46-8,Solide,,,,Non soumis,,,,
478032,"4,4'-(4,4'-isopropylidene-diphenoxy)bis(phtalic anhydride)",Aldrich,"0,1",,0,,38103-06-9,Solide,,,,Non soumis,,,,
28798-9,"1,6-bis(diphenylphosphino)hexane",Aldrich,"0,015",,111,,19845-69-3,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
26194-7,"1,4-bis(diphenylphosphino)butane",Aldrich,"0,03",,1,,7688-25-7,Solide,H315 H319 H413,,"Skin Irrit. 2, Eye Irrit. 2A, Aquatic chronic Chronic 4",Non soumis,,,,
P11255,"perylene-3,4,9,10-tetra-carboxylic dianhydride",Aldrich,"0,025",,0,,128-69-8,Liquide,,,,Non soumis,,,,
L15744,Tri-N-octylphosphine,Alfa Aesar,,"0,3",100,,4731-53-7,Liquide,H314 H318,,"Skin Corr. 1B, Eye Dam. 1",Non soumis,,240 °C,,
718165,trioctylphosphine,Aldrich,,"0,1",100,,4731-53-7,Liquide,H314 H318,,"Skin Corr. 1B, Eye Dam. 1",Non soumis,,,,E
218782,Tetraphenylphosphonium bromide,Aldrich,"0,05",,0,,2751-90-8,Solide,,,,Non soumis,,,,
21879-0,tetraphenylphosphonium chloride,Aldrich,"0,02",,0,,2001-45-8,Solide,,,,Non soumis,,,,
660035,"1,3-bis(1-adamantyl)-imidazolium tetrafluoroborate",Aldrich,"0,001",,111,,286014-42-4,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
11771-4,M-Anisic acid,Aldrich,"0,025",,0,,586-38-9,ND,,,,Non soumis,,,,
24748-0,domiphen bromide,Aldrich,"0,025",,111,,538-71-6,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
496375,"4'-(4-methylphenyl)-2,2':6',2""-terpyridine",Aldrich,"0,005",,0,,89972-77-0,Solide,,,,Non soumis,,,,
A36603,allyltriphenylphosphonium bromide,Aldrich,"0,1",,0,,1560-54-9,Solide,,,,Non soumis,,,,
361615,palmatine chloride hydrate,Aldrich,"0,0001",,21,,171869-95-7,Solide,H302 H315 H319 H332,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,E
708127,4-(diphenylphosphino)styrene,Aldrich,"0,025",,10,,40538-11-2,Solide,H302 H413,,"Acute Tox. 4 (Oral), Aquatic chronic Chronic 4",Non soumis,,,,
269492,"N,N'-bis(salicylidene)-1,2-phenyl-enediamine",Aldrich,"0,005",,111,,3946-91-6,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
20024,"N-butyl-2,2'-iminodi(8-quinolinone)",Aldrich,"0,0005",,111,,82361-90-8,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
A17760,1-pyrenebutyric acid,Alfa Aesar,"0,005",,111,,3443-45-6,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
H5882,hexadecyltrimethyl ammonium bromide,Sigma Aldrich,"0,2",,220,,57-09-0,Solide,H302 H315 H318 H335 H373 H400,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Dam. 1, STOT SE 3, STOT RE 2, Aquatic acute Acute 1",4510,,,,
H9151,hexadecyltrimethyl ammonium bromide,Sigma Aldrich,"0,025",,220,,57-09-0,Solide,H302 H315 H318 H335 H373 H400,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Dam. 1, STOT SE 3, STOT RE 2, Aquatic acute Acute 1",4510,,,,
130079,methyltriphenylphosphonium bromide,Aldrich,"0,3",,100,,1779-49-3,Solide,H301 H411,,"Acute Tox. 3 (Oral), Aquatic chronic Chronic 2",,,,"0,0000002 hPa",
C80407,cinchonidine,Aldrich,"0,01",,20,,485-71-2,Solide,H302 H317,,"Acute Tox. 4 (Oral), Skin Sens. 1",Non soumis,,,,
T8380-1,triphenylmethyl chloride,Aldrich,"0,025",,100,,76-83-5,Solide,H314,,Skin Corr. 1B,Non soumis,,,,E
515477,4-4'-di-tert-butyl-2-2'-dipyridyl,Sigma Aldrich,"0,01",,100,,72914-19-3,Solide,H301,,Acute Tox. 3 (Oral),,,,,E
T1694,"2,4,6-tri-tert-butylaniline",TCI,"0,005",,30,,961-38-6,Solide,H302 H312 H315 H319 H332,,"Acute Tox. 4 (Oral), Acute Tox. 4 (Derm.), Acute Tox. 4 (Inhal.), Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
148504,triphenylsilane,Aldrich,"0,03",,1,,789-25-3,Solide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
A12455,triphenylphosphine oxide,Alfa Aesar,"0,1",,121,,791-28-6,Solide,H302 H315 H319 H335 H412,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3, Aquatic chronic Chronic 3",Non soumis,,360 °C,1 mbar à 50 °C,
C6628,chloroquine diphosphate,Sigma Aldrich,"0,025",,10,,50-63-5,Solide,H302,,Acute Tox. 4 (Oral),Non soumis,,,,
T81604,triphenylamine,Aldrich,"0,025",,0,,603-34-9,Solide,,,,Non soumis,,,,
364525,oleic acid,Aldrich,,2,0,,112-80-1,Liquide,,,,,,,1 mmHg à 176 °C,
15-6850,triphenylphosphite,Strem Chemicals,"0,5",,1,,101-02-0,Liquide,H315 H319 H400 H410,,"Skin Irrit. 2, Eye Irrit. 2A, Aquatic acute Acute 1, Aquatic chronic Chronic 1",4510,,360 °C,,
O7805,oleylamine,Aldrich,"0,6",,310,,112-90-3,Liquide,H302 H304 H314 H335 H373 H400 H410,,"Acute Tox. 4 (Oral), Skin Corr. 1B, STOT SE 3, STOT RE 2, Asp. Tox. 1, Aquatic acute Acute 1, Aquatic chronic Chronic 1",4510,,,,E
26125,sodium oleate,Sigma Aldrich,1,,0,,143-19-1,Solide,,,,Non soumis,,,,
723010,2-(dodecylthiocarbonothioylthio)-2-methylpropionic acid,Aldrich,"0,006",,111,,461642-78-4,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
368199,"(S)-(-)-alpha,alpha-diphenyl-2-pyrrolidinemethanol",Aldrich,"0,001",,0,,112068-01-6,Liquide,,,,Non soumis,,,,
L10835,1-pyrenecarboxaldehyde,Alfa Aesar,"0,01",,111,,3029-19-4,Liquide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
237825,Bis-(2-ethylhexyl) phosphate,Aldrich,"0,1",,100,,298-07-7,Liquide,H312 H314,,"Acute Tox. 4 (Derm.), Skin Corr. 1B",Non soumis,,,,E
D0228,"2,6-di-tert-butyl-p-cresol",TCI,"0,025",,4100,,128-37-0,Solide,H302 H315 H319 H361f H370 H373 H400 H410,,"Acute Tox. 4 (Oral), Skin Irrit. 2, Eye Irrit. 2A, Repr. 2, STOT SE 1, STOT RE 2, Aquatic acute Acute 1, Aquatic chronic Chronic 1",4150,,265 °C,"1,3 Pa",
B3219,"4'-bromo-2,2':6',2''-terpyridine",TCI,"0,002",,1,,149817-62-9,Solide,H315 H319,,"Skin Irrit. 2, Eye Irrit. 2A",Non soumis,,,,
13612-3,trans-chalcone,Aldrich,"0,105",,121,,614-47-1,Solide,H302 H319 H335,,"Acute Tox. 4 (Oral), Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
160393,primaquine diphosphate,Aldrich,"0,01",,100,,63-45-6,Solide,H301,,Acute Tox. 3 (Oral),,,,,E
A14049,anthracene-9-carboxylic acid,Alfa Aesar,"0,01",,111,,723-62-6,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
A89405,9-anthroic acid,Aldrich,"0,005",,0,,723-62-6,Solide,,,,Non soumis,,,,
278688,9-anthracenecarboxaldehyde,Aldrich,"0,025",,0,,642-31-9,Solide,,,,Non soumis,,,,
11949-0,"2,4,6-triisopropylbenzosulfonyl chloride",Aldrich,"0,025",,100,,6553-96-4,Solide,H314,,Skin Corr. 1B,Non soumis,,,,E
108014,Benzyl ether,Aldrich,1,,0,,103-50-4,Liquide,H400 H410,,"Aquatic acute Acute 1, Aquatic chronic Chronic 1",,,,1 Pa à 25 °C,
D56209,"1,5-Dichloroanthraquinone",Aldrich,"0,1",,0,,82-46-2,Solide,,,,Non soumis,,,,
340014,Anthrarufin,Aldrich,"0,1",,111,,117-12-4,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
A90004,Anthraquinone,Aldrich,"0,25",,1300,,84-65-1,Solide,H317 H350,,"Skin Sens. 1, Carc. 1B",Non soumis,,,130 Pa à 190 °C,
319899,Anthrone,Sigma Aldrich,"0,025",,0,,90-44-8,Solide,,,,Non soumis,,,,
14568-8,"6,9-Dichloro-2-methoxyacridine",Aldrich,"0,025",,210,,86-38-4,Solide,H315 H317 H319 H334 H335,,"Skin Irrit. 2, Eye Irrit. 2A, Resp. Sens. 1, Skin Sens. 1, STOT SE 3",Non soumis,,,,
B56609,9-Bromoanthracene,Aldrich,"0,005",,0,,1564-64-3,Solide,,,,Non soumis,,,,
39437-8,"4-Bromo-2,6-di-tert-butylphenol",Aldrich,"0,025",,111,,1139-52-2,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
D204803,Diphenylacetylene,Aldrich,"0,005",,0,,501-65-5,Solide,,,,Non soumis,,,,
367842,"1,5-Diamino-anthraquinone",Aldrich,"0,025",,111,,129-44-2,Solide,H315 H319 H335,,"Skin Irrit. 2, Eye Irrit. 2A, STOT SE 3",Non soumis,,,,
D204307,Diphenylacetic acid,Aldrich,"0,005",,0,,117-34-0,Solide,,,,Non soumis,,,,
